battle,link,date
Siege of Aratta,https://en.wikipedia.org/wiki/Enmerkar_and_the_Lord_of_Aratta,c. 2600 BC
Siege of Uruk,https://en.wikipedia.org/wiki/Aga_of_Kish,c. 2580 BC
Battle of Banquan,https://en.wikipedia.org/wiki/Battle_of_Banquan,c. 2500 BC
Battle of Zhuolu,https://en.wikipedia.org/wiki/Battle_of_Zhuolu,c. 2500 BC
Battle of Uruk,https://en.wikipedia.org/wiki/Battle_of_Uruk,c. 2271 BC
Battle of Mingtiao,https://en.wikipedia.org/wiki/Battle_of_Mingtiao,c. 1600 BC
Sack of Babylon,https://en.wikipedia.org/wiki/Sack_of_Babylon,c. 1595 BC
Siege of Sharuhen,https://en.wikipedia.org/wiki/Siege_of_Sharuhen,c. 1530 BC
Siege of Kerma,https://en.wikipedia.org/wiki/Kerma_culture,c. 1504 BC
Battle of the Ten Kings,https://en.wikipedia.org/wiki/Battle_of_the_Ten_Kings,c. 1500 BC
Battle of Megiddo,https://en.wikipedia.org/wiki/Battle_of_Megiddo_(15th_century_BC),c. 1457 BC
Battle of Jericho,https://en.wikipedia.org/wiki/Battle_of_Jericho,c. 1400 BC
Battle of Ganuvara,https://en.wikipedia.org/wiki/Battle_of_Ganuvara,c. 1312 BC
Battle at Gibeah,https://en.wikipedia.org/wiki/Battle_at_Gibeah,c. 1300 BC
Battle of Kār Ištar,https://en.wikipedia.org/wiki/Battle_of_K%C4%81r_I%C5%A1tar,c. 1280 BC
First Battle of Alashiya,https://en.wikipedia.org/wiki/Battles_of_Alashiya,c. 1275 BC
Battle of Kadesh,https://en.wikipedia.org/wiki/Battle_of_Kadesh,c. 1274 BC
Siege of Dapur,https://en.wikipedia.org/wiki/Siege_of_Dapur,1269 BC
Battle of the Tollense,https://en.wikipedia.org/wiki/Tollense#Presumed_Tollense_battle_site,c. 1250 BC
Battle of Nihriya,https://en.wikipedia.org/wiki/Battle_of_Nihriya,c. 1237 BC
Battle of Perire,https://en.wikipedia.org/wiki/Battle_of_Perire,1208 BC
Second Battle of Alashiya,https://en.wikipedia.org/wiki/Battles_of_Alashiya,c. 1205 BC
Siege of Troy,https://en.wikipedia.org/wiki/Siege_of_Troy,c. 1184 BC
Battle of Djahy,https://en.wikipedia.org/wiki/Battle_of_Djahy,c. 1178 BC
Battle of the Delta,https://en.wikipedia.org/wiki/Battle_of_the_Delta,c. 1175 BC
Battle of Mount Tabor,https://en.wikipedia.org/wiki/Battle_of_Mount_Tabor_(biblical),c. 1150 BC
Battle of Muye,https://en.wikipedia.org/wiki/Battle_of_Muye,c. 1046 BC
Battle of Michmash,https://en.wikipedia.org/wiki/Battle_of_Michmash,c. 1025 BC
Battle of Mount Gilboa,https://en.wikipedia.org/wiki/Saul_the_King#Battle_of_Gilboa,c. 1010 BC
Siege of Jebus,https://en.wikipedia.org/wiki/Siege_of_Jebus,c. 1010 BC
