battle,link,date,coordinates
Siege of Sharuhen,https://en.wikipedia.org/wiki/Siege_of_Sharuhen,c. 1530 BC,31.28194°N 34.48250°E
Siege of Kerma,https://en.wikipedia.org/wiki/Kerma_culture,c. 1504 BC,19.600802°N 30.409731°E
Battle of Megiddo,https://en.wikipedia.org/wiki/Battle_of_Megiddo_(15th_century_BC),c. 1457 BC,32.5831611°N 35.1820861°E
Battle of Jericho,https://en.wikipedia.org/wiki/Battle_of_Jericho,c. 1400 BC,31.833°N 35.433°E
Battle of Kadesh,https://en.wikipedia.org/wiki/Battle_of_Kadesh,c. 1274 BC,34.57°N 36.51°E
Battle of the Tollense,https://en.wikipedia.org/wiki/Tollense_valley_battlefield,c. 1250 BC,53.89917°N 13.03250°E
Siege of Jebus,https://en.wikipedia.org/wiki/Siege_of_Jebus,c. 1010 BC,31.783°N 35.217°E
Battle of Karkar,https://en.wikipedia.org/wiki/Battle_of_Karkar,853 BC,35.742646°N 36.330543°E
Siege of Gezer (c.733 BC),https://en.wikipedia.org/wiki/Siege_of_Gezer_(c.733_BC),733 BC,31.859000°N 34.919000°E
Siege of Jerusalem (701 BC),https://en.wikipedia.org/wiki/Siege_of_Jerusalem_(701_BC),701 BC,31.768319°N 35.21371°E
Battle of Susa,https://en.wikipedia.org/wiki/Battle_of_Susa,647 BC,32.18922°N 48.25778°E
Battle of Loulin,https://en.wikipedia.org/wiki/Battle_of_Loulin,645 BC,32.866667°N 117.566667°E
Battle of Chengpu,https://en.wikipedia.org/wiki/Battle_of_Chengpu,632 BC,34.6711°N 114.5290°E
Battle of Arrapha,https://en.wikipedia.org/wiki/Battle_of_Arrapha,616 BC,35.46667°N 44.31667°E
Battle of Nineveh,https://en.wikipedia.org/wiki/Battle_of_Nineveh_(612_BC),612 BC,36.35944°N 43.15278°E
Battle of Megiddo,https://en.wikipedia.org/wiki/Battle_of_Megiddo_(609_BC),609 BC,32.583°N 35.183°E
Battle of Carchemish,https://en.wikipedia.org/wiki/Battle_of_Carchemish,605 BC,36.8297°N 38.0150°E
Battle of Hamath,https://en.wikipedia.org/wiki/Battle_of_Hamath,605 BC,35.133°N 36.750°E
Siege of Jerusalem (597 BC),https://en.wikipedia.org/wiki/Siege_of_Jerusalem_(597_BC),597 BC,31.78333306°N 35.21666694°E
Battle of An,https://en.wikipedia.org/wiki/Battle_of_An,588 BC,36.7286000°N 117.0638500°E
Siege of Jerusalem (587 BC),https://en.wikipedia.org/wiki/Siege_of_Jerusalem_(587_BC),587 BC,31.783°N 35.217°E
Siege of Tyre (586–573 BC),https://en.wikipedia.org/wiki/Siege_of_Tyre_(586%E2%80%93573_BC),586-573 BC,33.27083°N 35.19611°E
Battle of Pasargadae,https://en.wikipedia.org/wiki/Battle_of_Pasargadae,550 BC,30.20000°N 53.17944°E
Battle of Pteria,https://en.wikipedia.org/wiki/Battle_of_Pteria,547 BC,39.9167°N 35.3333°E
Battle of Thymbra,https://en.wikipedia.org/wiki/Battle_of_Thymbra,547 BC,38.66667°N 27.83333°E
Siege of Sardis (547 BC),https://en.wikipedia.org/wiki/Siege_of_Sardis_(547_BC),547 BC,38.48333°N 28.03333°E
Battle of Alalia,https://en.wikipedia.org/wiki/Battle_of_Alalia,540 BC,42.1041973°N 9.55267913°E
