battle,link,date,latitude,longitude
Siege of Sharuhen,https://en.wikipedia.org/wiki/Siege_of_Sharuhen,c. 1530 BC,31.28194,34.4825
Siege of Kerma,https://en.wikipedia.org/wiki/Kerma_culture,c. 1504 BC,19.600802,30.409731
Battle of Megiddo,https://en.wikipedia.org/wiki/Battle_of_Megiddo_(15th_century_BC),c. 1457 BC,32.5831611,35.1820861
Battle of Jericho,https://en.wikipedia.org/wiki/Battle_of_Jericho,c. 1400 BC,31.833,35.433
Battle of Kadesh,https://en.wikipedia.org/wiki/Battle_of_Kadesh,c. 1274 BC,34.57,36.51
Battle of the Tollense,https://en.wikipedia.org/wiki/Tollense_valley_battlefield,c. 1250 BC,53.89917,13.0325
Siege of Jebus,https://en.wikipedia.org/wiki/Siege_of_Jebus,c. 1010 BC,31.783,35.217
Battle of Karkar,https://en.wikipedia.org/wiki/Battle_of_Karkar,853 BC,35.742646,36.330543
Siege of Gezer (c.733 BC),https://en.wikipedia.org/wiki/Siege_of_Gezer_(c.733_BC),733 BC,31.859,34.919
Siege of Jerusalem (701 BC),https://en.wikipedia.org/wiki/Siege_of_Jerusalem_(701_BC),701 BC,31.768319,35.21371
Battle of Susa,https://en.wikipedia.org/wiki/Battle_of_Susa,647 BC,32.18922,48.25778
Battle of Loulin,https://en.wikipedia.org/wiki/Battle_of_Loulin,645 BC,32.866667,117.566667
Battle of Chengpu,https://en.wikipedia.org/wiki/Battle_of_Chengpu,632 BC,34.6711,114.529
Battle of Arrapha,https://en.wikipedia.org/wiki/Battle_of_Arrapha,616 BC,35.46667,44.31667
Battle of Nineveh,https://en.wikipedia.org/wiki/Battle_of_Nineveh_(612_BC),612 BC,36.35944,43.15278
Battle of Megiddo,https://en.wikipedia.org/wiki/Battle_of_Megiddo_(609_BC),609 BC,32.583,35.183
Battle of Carchemish,https://en.wikipedia.org/wiki/Battle_of_Carchemish,605 BC,36.8297,38.015
Battle of Hamath,https://en.wikipedia.org/wiki/Battle_of_Hamath,605 BC,35.133,36.75
Siege of Jerusalem (597 BC),https://en.wikipedia.org/wiki/Siege_of_Jerusalem_(597_BC),597 BC,31.78333306,35.21666694
Battle of An,https://en.wikipedia.org/wiki/Battle_of_An,588 BC,36.7286,117.06385
Siege of Jerusalem (587 BC),https://en.wikipedia.org/wiki/Siege_of_Jerusalem_(587_BC),587 BC,31.783,35.217
Siege of Tyre (586–573 BC),https://en.wikipedia.org/wiki/Siege_of_Tyre_(586%E2%80%93573_BC),586-573 BC,33.27083,35.19611
Battle of Pasargadae,https://en.wikipedia.org/wiki/Battle_of_Pasargadae,550 BC,30.2,53.17944
Battle of Pteria,https://en.wikipedia.org/wiki/Battle_of_Pteria,547 BC,39.9167,35.3333
Battle of Thymbra,https://en.wikipedia.org/wiki/Battle_of_Thymbra,547 BC,38.66667,27.83333
Siege of Sardis (547 BC),https://en.wikipedia.org/wiki/Siege_of_Sardis_(547_BC),547 BC,38.48333,28.03333
Battle of Alalia,https://en.wikipedia.org/wiki/Battle_of_Alalia,540 BC,42.1041973,9.55267913
Siege of Xanthos,https://en.wikipedia.org/wiki/Xanthos,540 BC,36.35611,29.31861
Battle of Opis,https://en.wikipedia.org/wiki/Battle_of_Opis,539 BC-538 BC,33.18139,44.7
Battle of Pelusium,https://en.wikipedia.org/wiki/Battle_of_Pelusium,525 BC,31.041667,32.545
Siege of Naxos,https://en.wikipedia.org/wiki/Siege_of_Naxos_(499_BC),499 BC,37.083,25.467
Battle of Lake Regillus,https://en.wikipedia.org/wiki/Battle_of_Lake_Regillus,496 BC,41.84028,12.69306
Battle of Lade,https://en.wikipedia.org/wiki/Battle_of_Lade,494 BC,37.53023306,27.27836889
Siege of Eretria,https://en.wikipedia.org/wiki/Siege_of_Eretria,490 BC,38.392801,23.794298
Battle of Marathon,https://en.wikipedia.org/wiki/Battle_of_Marathon,490 BC,38.11806,23.97833
Battle of Thermopylae,https://en.wikipedia.org/wiki/Battle_of_Thermopylae,480 BC,38.796607,22.536714
Battle of Artemisium,https://en.wikipedia.org/wiki/Battle_of_Artemisium,480 BC,39.05,23.2
Battle of Salamis,https://en.wikipedia.org/wiki/Battle_of_Salamis,480 BC,37.95139,23.56667
Battle of Himera,https://en.wikipedia.org/wiki/Battle_of_Himera_(480_BC),480 BC,37.9739972,13.8239861
Battle of Plataea,https://en.wikipedia.org/wiki/Battle_of_Plataea,479 BC,38.21,23.29
Battle of Mycale,https://en.wikipedia.org/wiki/Battle_of_Mycale,479 BC,37.635985,27.107677
Battle of Lize,https://en.wikipedia.org/wiki/Battle_of_Lize,478 BC,30.8997,120.953
Battle of the Cremera,https://en.wikipedia.org/wiki/Battle_of_the_Cremera,477 BC,42.02881694,12.4245
Battle of the Eurymedon,https://en.wikipedia.org/wiki/Battle_of_the_Eurymedon,466 BC,36.83,31.17306
Battle of Mount Algidus,https://en.wikipedia.org/wiki/Battle_of_Mount_Algidus,458 BC,41.72305611,12.76944389
Battle of Tanagra,https://en.wikipedia.org/wiki/Battle_of_Tanagra_(457_BC),457 BC,38.317,23.533
Battle of Oenophyta,https://en.wikipedia.org/wiki/Battle_of_Oenophyta,457 BC,38.3,23.633
Battle of Coronea,https://en.wikipedia.org/wiki/Battle_of_Coronea_(447_BC),447 BC,38.35,22.967
Battle of Potidaea,https://en.wikipedia.org/wiki/Battle_of_Potidaea,432 BC,40.1937,23.3278
Battle of Spartolos,https://en.wikipedia.org/wiki/Battle_of_Spartolos,429 BC,40.2832,23.2954
Battle of Rhium,https://en.wikipedia.org/wiki/Battle_of_Rhium,429 BC,38.3,21.783
Battle of Naupactus,https://en.wikipedia.org/wiki/Battle_of_Naupactus_(429_BC),429 BC,38.3914,21.8297
Battle of Olpae,https://en.wikipedia.org/wiki/Battle_of_Olpae,426 BC,38.949996,21.149835
Battle of Pylos,https://en.wikipedia.org/wiki/Battle_of_Pylos,425 BC,36.917,21.7
Battle of Sphacteria,https://en.wikipedia.org/wiki/Battle_of_Sphacteria,425 BC,36.9301361,21.665725
Battle of Delium,https://en.wikipedia.org/wiki/Battle_of_Delium,424 BC,38.34806,23.64917
Battle of Amphipolis,https://en.wikipedia.org/wiki/Battle_of_Amphipolis,422 BC,40.823681,23.84705
Battle of Mantinea,https://en.wikipedia.org/wiki/Battle_of_Mantinea_(418_BC),418 BC,37.6,22.4
Battle of Melos,https://en.wikipedia.org/wiki/Battle_of_Melos,415 BC,36.683,24.417
Battle of Syracuse,https://en.wikipedia.org/wiki/Battle_of_Syracuse_(415_BC),415 BC,37.0833,15.2833
Battle of Cynossema,https://en.wikipedia.org/wiki/Battle_of_Cynossema,411 BC,40.142369,26.38775
Battle of Cyzicus,https://en.wikipedia.org/wiki/Battle_of_Cyzicus,410 BC,40.38,27.89
Battle of Notium,https://en.wikipedia.org/wiki/Battle_of_Notium,406 BC,37.99278,26.8475
Battle of Arginusae,https://en.wikipedia.org/wiki/Battle_of_Arginusae,406 BC,39.033,26.8
Siege of Akragas (406 BC),https://en.wikipedia.org/wiki/Siege_of_Akragas_(406_BC),406 BC,37.317,13.583
Battle of Aegospotami,https://en.wikipedia.org/wiki/Battle_of_Aegospotami,405 BC,40.25,26.55
Sack of Camarina (405 BC),https://en.wikipedia.org/wiki/Sack_of_Camarina_(405_BC),405 BC,36.8721,14.4477
Battle of Munychia,https://en.wikipedia.org/wiki/Battle_of_Munychia,404 or 403 BC,37.941,23.656
Battle of Cunaxa,https://en.wikipedia.org/wiki/Battle_of_Cunaxa,401 BC,33.325,44.08
Siege of Syracuse (397 BC),https://en.wikipedia.org/wiki/Siege_of_Syracuse_(397_BC),397 BC,37.06917,15.2875
Battle of Veii,https://en.wikipedia.org/wiki/Battle_of_Veii,396 BC,42.02389,12.40139
Battle of Haliartus,https://en.wikipedia.org/wiki/Battle_of_Haliartus,395 BC,38.37917,23.08778
Battle of Sardis,https://en.wikipedia.org/wiki/Battle_of_Sardis,395 BC,38.48333,28.03333
Battle of Nemea,https://en.wikipedia.org/wiki/Battle_of_Nemea_(394_BC),394 BC,37.8089,22.7103
Battle of Cnidus,https://en.wikipedia.org/wiki/Battle_of_Cnidus,394 BC,36.68583,27.375
Battle of Coronea,https://en.wikipedia.org/wiki/Battle_of_Coronea_(394_BC),394 BC,38.35,22.967
Battle of Lechaeum,https://en.wikipedia.org/wiki/Battle_of_Lechaeum,391 BC,37.934142,22.884225
Battle of the Allia,https://en.wikipedia.org/wiki/Battle_of_the_Allia,390 BC,42.0175,12.52
